subject,pearson,explained_variance,nrmse,temporal_pearson_after_channel_demean,temporal_explained_variance_after_channel_demean,prediction_to_observed_temporal_sd_ratio_mean
sub-001,0.7710693157397301,0.5931229936039527,0.132903357891542,0.303567987528023,0.002833193728464023,0.006769015839528081
sub-002,0.8854667545187461,0.7816958135313576,0.08467280955244387,0.42174757905983806,0.13504218962918324,0.183868522459616
sub-003,0.6353247301545291,0.3967912566855517,0.13203381407123826,0.48582182982465555,0.09155252761190347,0.08208469879145869
sub-004,0.7946493537591305,0.6305654844617989,0.09581677989911955,0.4252225765821205,0.11413678038237285,0.20805824124336714
sub-005,0.970836066317577,0.9402285487363528,0.042909160677231585,0.2607868619363266,0.038439246750559986,0.11225436572365316
sub-006,0.8760852143259313,0.7673530072330114,0.08983906115019828,0.2131825885119567,0.004688420883641964,0.02683926519118255
sub-007,0.9142940914281831,0.8357100343292595,0.07702229887181616,0.2310812572261962,0.03692909144171064,0.06148227778142759
sub-008,0.9484062976002081,0.8989805233419457,0.061903648603658955,0.3687547335223924,0.12744755914131123,0.683589925936926
sub-009,0.9091580007172574,0.8262358187025326,0.07015677849111165,0.5209069294713602,0.05043512886542589,0.09325356200718367
sub-010,0.9565696342361468,0.9129189896320196,0.06895557246076277,0.45342012831313044,0.08608246172255873,0.11430269229794365
sub-011,0.728657928424553,0.5270513402320143,0.09943569333864562,0.4891371448015842,0.10785558239333115,0.10769761536567954
sub-012,0.6976733706979547,0.4839063168173898,0.11526513687504615,0.3361099795265351,0.02763617224084358,0.029241555744553047
sub-013,0.7492291298292479,0.5462344004288362,0.10160592859325857,0.32285701022918156,0.014847612724237957,0.03761211915564537
sub-014,0.7953842339521567,0.6137085533258163,0.1167947997453864,0.5397513140345052,0.01698042848245862,0.04739712854698017
sub-015,0.89652593134433,0.7994664095771206,0.07437992759340589,0.2755165779283946,0.05510052955527289,0.051138719122156805
sub-016,0.7980531724213569,0.621067453199928,0.10650080316024169,0.37682207383864913,0.04070277195822558,0.04864784032832376
sub-017,0.5568984320936688,0.3100538508627214,0.14307648940831635,0.45463153079376956,0.005910673780808673,0.007521325477502347
sub-018,0.5976873855209967,0.34872067102820903,0.14522693527366218,0.33348989423405395,0.00463495951227666,0.009964952554135166
sub-019,0.5840593023827787,0.33857414863153734,0.12964990774331997,0.41967620724792365,0.006965403091264477,0.0199341778712589
sub-020,0.8893829443709079,0.7895659677894864,0.08488723470559713,0.0738704580838676,0.0011446600402416074,0.015972762147763817
sub-021,0.719858665882171,0.3614318968470476,0.1511061512997662,0.540173869927982,0.2814401641751536,0.399525321501718
sub-022,0.9003505808702562,0.8007697037015784,0.08702444295643778,0.5657319445667743,0.24292929859251888,0.2945762206417478
sub-023,0.5684017432798129,0.32306821962325427,0.14522159984039887,0.43013770366861726,0.0041688906080605825,0.006827610510973412
sub-024,0.7582169532442822,0.5735237395268575,0.1028697318800919,0.49256008941601975,0.09907544098169818,0.11496320918122921
sub-025,0.9745877572410793,0.9483549788848817,0.054594743412895476,0.4235178362771003,0.1792655275537699,0.2887656720444821
sub-026,0.9173302272659072,0.840890120652602,0.08058996888062141,0.4596355213205226,0.014609425357413719,0.02926221886809518
sub-027,0.5055083242804634,0.25349004773163564,0.15378351753201583,0.3263015832467799,0.0037309309331617913,0.008752469706592967
sub-028,0.6567016930348326,0.43072298417713406,0.15315003233200014,0.23446623260791713,0.003949686737301561,0.005892408647755482
sub-029,0.8699049711670869,0.7382401086821936,0.08520380905524323,0.5924108431706907,0.35078682606853684,0.44656157943228664
sub-030,0.6515272157080233,0.42410812367762873,0.11699427510630565,0.45935338948330623,0.007934180773585653,0.012730804726849562
