metric,n,mean,std,median,min,max
optimizations_usable,30,7.966666666666667,0.18257418583505533,8.0,7.0,8.0
observation_pearson,30,0.7825933140603102,0.1395970329306664,0.7950167938556436,0.5055083242804634,0.9745877572410793
observation_explained_variance,30,0.621885050188522,0.2169614812254786,0.6173880032628721,0.25349004773163564,0.9483549788848817
observation_nrmse,30,0.10345248034672598,0.031580369079942314,0.10052081096595208,0.042909160677231585,0.15378351753201583
x0_rank_spearman_min,30,0.9045093344956279,0.1971078521893332,0.9818325172421294,0.03304302664131952,0.9993183357806046
x0_rank_spearman_median,30,0.9678305825264625,0.05594725350312506,0.9978165158234795,0.8155677864010926,0.9998514594534647
x0_across_start_sd_median,30,0.0051975501621197495,0.011834122455669215,0.0007585211277373917,0.0002404406629769302,0.0606377496560576
x0_across_start_sd_max,30,0.3399375110331679,0.44337024595419056,0.2582767036304664,0.002908345749734747,1.926107956798632
source_recruited_rois,30,2.7666666666666666,3.8746152942145002,0.5,0.0,13.0
time_data_features_s,30,1.9672689047564442,0.6241284366725666,1.82474854006432,1.1264520878903568,3.891837978968397
time_optimization_s,30,197.69740693336354,57.60252184705339,222.89756569149904,98.26083812001161,268.14260676689446
time_total_s,30,200.58491220081535,57.69641019750665,225.5286038944032,100.8086184640415,270.80505019798875
ez_auroc,30,0.42952185509362134,0.344158958217081,0.39555614636259795,0.04055299539170507,0.9875776397515528
ez_average_precision,30,0.20685179131997836,0.2064113228211904,0.14728402175833655,0.010446343779677113,0.7083333333333334
ez_prevalence,30,0.037448559670781895,0.027219127340742742,0.033950617283950615,0.006172839506172839,0.11728395061728394
ez_first_positive_rank,30,41.733333333333334,56.39083646109188,3.0,1.0,141.0
ez_mean_positive_rank,30,92.01807451320609,53.79579000425029,97.72619047619048,3.0,153.0
ez_recall_at_true_count,30,0.16385836385836386,0.20705232928217648,0.038461538461538464,0.0,0.6666666666666666
pz_auroc,17,0.5519199314180637,0.43892287837257765,0.7515822784810127,0.018867924528301886,1.0
pz_average_precision,17,0.2859913378257292,0.35827443316616836,0.12380952380952381,0.006493506493506494,1.0
pz_prevalence,30,0.011111111111111108,0.015241479168638916,0.006172839506172839,0.0,0.05555555555555555
pz_first_positive_rank,17,60.411764705882355,69.87672969552294,8.0,1.0,155.0
pz_mean_positive_rank,17,73.2109477124183,69.78586501915989,41.75,1.0,158.0
pz_recall_at_true_count,17,0.23366013071895422,0.3862832878911463,0.0,0.0,1.0
ez_or_pz_auroc,30,0.453554172734739,0.3353186376010102,0.42460630531888494,0.0738255033557047,0.99375
ez_or_pz_average_precision,30,0.28905697465848645,0.25538605982743057,0.23268705574826765,0.013716678035926862,0.7561728395061729
ez_or_pz_prevalence,30,0.04835390946502058,0.028268143871259643,0.040123456790123455,0.006172839506172839,0.11728395061728394
ez_or_pz_first_positive_rank,30,32.03333333333333,50.94113122590341,1.0,1.0,140.0
ez_or_pz_mean_positive_rank,30,88.1683463247279,51.66085675807138,93.19375,2.5,145.8
ez_or_pz_recall_at_true_count,30,0.25107059607059606,0.2397660079647251,0.225,0.0,0.75
