subject,rank,x0_spearman,ez_auprc,recall_at_ez_count,first_ez_rank,ez_count,weights_sha256,laplacian_sha256
sub-001,10,0.3024444112611625,0.4740740740740741,0.3333333333333333,1,3,08243b0af740a36cf67e33e8c1bb18a4d9bfbfd6b2b3d24384652064156f57c1,7daf844ac3a8036bcc500ec93b78f331dc5c7930888204a2481e42ae2a516e39
sub-002,10,0.38138569684252793,0.38643929897894097,0.26666666666666666,1,15,a2ac0250c64fde2b7b929fdf55a2aaa8f96230dd055a004cd854ee3526c8a5a4,d7c32ee4736eab801eb4197dfa2a2265c293e6c369118472373f975121bd59b1
sub-003,10,0.376984402256797,0.641391797975063,0.5,1,8,d175014d77247451b8b467a94681ee502c654c8f0f2aeee25930d881bdb17ed8,0225a28b296f1062fe1d8bf9260c176e4b9f6cc09e3a79b2245c10fbac60c2d8
sub-004,10,0.3278334703373429,0.5194805194805194,0.3333333333333333,1,3,a91e83e94a8dc7a12903ebcd3504156b6e61bb5f5ca0e3ec54330ce1f3f24da9,38d3ddb9102f564d25ae6cfa4a1d4b4150fa50ac5c1ce68d7fade786e7bd7ea4
sub-005,10,0.2942562253500821,0.48553373974638825,0.5,1,8,de12904856a0dbfef598a7ae22f942b1aa9af1085c2a1ea53e9f6bd9b58a9ff4,2c747778570d0f21693fed421181a29f8e8c7f928f885b8a809c9600dc6f10a4
sub-006,10,0.2897787541605618,0.2888888888888889,0.3333333333333333,4,6,c3290bde41697ed30900560c96276418ef3b8ce8ea986dd41f221dd310554b34,d1222d5f4151dd3979497cf1e25ce833f14cd6752299c28476eb387ebb31b993
sub-007,10,0.33191242949025707,0.4539820806371329,0.42857142857142855,1,7,66c4ded482360186ac3809e3f2ff67ec648f99ec942dd02a5d0f195757402798,7aecf233e4baae34fd09c2a147f50466db1700b93af61880432aaf25a142e52f
sub-008,10,0.23476558123511587,0.3377450980392157,0.25,2,4,b592e532a8f2b353eac41a000c46a22d4066f88b38308d8b55dbc85fda1366ab,681059c933f755dafcbefa0067f3774b82ac7ba595a4e9b54aa98b4ff9a82338
sub-009,10,0.18864355098972338,0.11484593837535013,0.0,5,3,a5c2106c514a9d7a256cb0e75b0975619aa4f8b13777541b388f87080dad43be,4ab5fdc6a2d9934e0b9827798e2f014382dd90502c6d6d660335d365fb822b18
sub-010,10,0.3997596269521014,0.9,0.8,1,5,a1965952290b73f6ab256c216fc418443186fb19938692a462bd77806d2c0964,8d7e62888d773bc8da94bb2d6140463467b5227c0b84f4a19da773e903a9c550
sub-011,10,0.32661172285490625,1.0,1.0,1,2,4638eec93f33c5f23767dcc96a08ac109d0cf970bbdb58089a32bd242c1fdc5b,1c17b5d3a9384327e32905efbb74741695a59c378c95a76625d8dab631b08003
sub-012,10,0.43335251413414944,0.7985347985347985,0.7142857142857143,1,7,1978e990933c7eb373adce0cbd54e99a278408a14b7acf07e362bf939c3f5f9d,1414999d86a0b1233b5685650e9d10c847dbcce5ffd27717d541d1f8c94c88e5
sub-013,10,0.17881080178318484,0.08893280632411067,0.0,11,2,a5c7adff05d7290c4b18611f541d527a5e4b3437dfdfb39b031970758d6d8b3f,07fe7252492448df470ce621cfd6792dcbd46f21e6be0efc08952b3543fcde24
