auroc,average_precision,prevalence,first_ez_rank,mean_ez_rank,oracle_k_recall,subject,method
0.9685534591194969,0.7222222222222222,0.018518518518518517,1,7.0,0.6666666666666666,sub-001,personalized_map
0.4947589098532495,0.023365640807815575,0.018518518518518517,58,82.33333333333333,0.0,sub-001,loo_mean_map
0.9664570230607966,0.5444444444444444,0.018518518518518517,1,5.666666666666667,0.3333333333333333,sub-001,loo_ez_frequency
0.9043083900226757,0.5482734529823422,0.09259259259259259,1,22.066666666666666,0.4666666666666667,sub-002,personalized_map
0.472562358276644,0.08832929781009893,0.09259259259259259,18,85.53333333333333,0.0,sub-002,loo_mean_map
0.6244897959183673,0.3341196386498082,0.09259259259259259,1,67.0,0.4,sub-002,loo_ez_frequency
0.8465909090909091,0.45719824843235857,0.04938271604938271,1,28.125,0.375,sub-003,personalized_map
0.3741883116883117,0.05788710917512015,0.04938271604938271,6,100.875,0.125,sub-003,loo_mean_map
0.5982142857142857,0.07993157846045408,0.04938271604938271,19,61.75,0.0,sub-003,loo_ez_frequency
0.039832285115303984,0.012707063603688076,0.018518518518518517,144,154.66666666666666,0.0,sub-004,personalized_map
0.6834381551362684,0.03944984656338966,0.018518518518518517,34,52.333333333333336,0.0,sub-004,loo_mean_map
0.9664570230607966,0.5444444444444444,0.018518518518518517,1,5.666666666666667,0.3333333333333333,sub-004,loo_ez_frequency
0.47483766233766234,0.35290335019176805,0.04938271604938271,1,85.375,0.375,sub-005,personalized_map
0.19642857142857142,0.03298944565157925,0.04938271604938271,97,128.25,0.0,sub-005,loo_mean_map
0.4602272727272727,0.04771553444446821,0.04938271604938271,41,89.25,0.0,sub-005,loo_ez_frequency
0.42628205128205127,0.3546911481467972,0.037037037037037035,1,93.0,0.3333333333333333,sub-006,personalized_map
0.5480769230769231,0.046868135989444,0.037037037037037035,27,74.0,0.0,sub-006,loo_mean_map
0.7350427350427351,0.10707501109894974,0.037037037037037035,9,50.666666666666664,0.0,sub-006,loo_ez_frequency
0.2709677419354839,0.10267773909333207,0.043209876543209874,2,117.0,0.14285714285714285,sub-007,personalized_map
0.647926267281106,0.06793659782374184,0.043209876543209874,22,58.57142857142857,0.0,sub-007,loo_mean_map
0.812442396313364,0.413798185941043,0.043209876543209874,1,27.0,0.2857142857142857,sub-007,loo_ez_frequency
0.07120253164556962,0.016193729961845905,0.024691358024691357,126,149.25,0.0,sub-008,personalized_map
0.7183544303797469,0.19053243962591263,0.024691358024691357,2,47.0,0.25,sub-008,loo_mean_map
0.877373417721519,0.24365942028985504,0.024691358024691357,4,22.0,0.25,sub-008,loo_ez_frequency
0.1111111111111111,0.013782502852968337,0.018518518518518517,139,143.33333333333334,0.0,sub-009,personalized_map
0.7316561844863732,0.14316239316239318,0.018518518518518517,4,44.666666666666664,0.0,sub-009,loo_mean_map
0.3385744234800838,0.019037869037869037,0.018518518518518517,84,101.66666666666667,0.0,sub-009,loo_ez_frequency
0.4496815286624204,0.03811918973151412,0.030864197530864196,23,89.4,0.0,sub-010,personalized_map
0.7006369426751592,0.13290505226480837,0.030864197530864196,6,50.0,0.0,sub-010,loo_mean_map
0.9770700636942675,0.39126984126984127,0.030864197530864196,4,7.2,0.2,sub-010,loo_ez_frequency
0.421875,0.02540360873694207,0.012345679012345678,26,94.0,0.0,sub-011,personalized_map
0.86875,0.065,0.012345679012345678,20,22.5,0.0,sub-011,loo_mean_map
0.709375,0.037868162692847124,0.012345679012345678,31,38.5,0.0,sub-011,loo_ez_frequency
0.03778801843317972,0.025485518317765566,0.043209876543209874,137,153.14285714285714,0.0,sub-012,personalized_map
0.8248847926267281,0.18894461293289244,0.043209876543209874,3,31.142857142857142,0.2857142857142857,sub-012,loo_mean_map
0.9350230414746544,0.6428571428571429,0.043209876543209874,1,12.428571428571429,0.5714285714285714,sub-012,loo_ez_frequency
0.134375,0.010410127641766059,0.012345679012345678,118,140.0,0.0,sub-013,personalized_map
0.815625,0.04791666666666666,0.012345679012345678,30,31.0,0.0,sub-013,loo_mean_map
0.709375,0.039938556067588324,0.012345679012345678,31,36.5,0.0,sub-013,loo_ez_frequency
0.1060126582278481,0.01721563676557103,0.024691358024691357,140,143.75,0.0,sub-014,personalized_map
0.28164556962025317,0.020433483183483182,0.024691358024691357,84,116.0,0.0,sub-014,loo_mean_map
0.30854430379746833,0.01973535054457297,0.024691358024691357,49,126.5,0.0,sub-014,loo_ez_frequency
0.8944099378881988,0.05555555555555555,0.006172839506172839,18,18.0,0.0,sub-015,personalized_map
0.38509316770186336,0.01,0.006172839506172839,100,100.0,0.0,sub-015,loo_mean_map
1.0,1.0,0.006172839506172839,1,1.0,1.0,sub-015,loo_ez_frequency
0.4875,0.10617283950617284,0.012345679012345678,5,83.5,0.0,sub-016,personalized_map
0.190625,0.011124510099487488,0.012345679012345678,107,131.0,0.0,sub-016,loo_mean_map
0.4,0.015783343040186373,0.012345679012345678,85,93.0,0.0,sub-016,loo_ez_frequency
