subject,policy,response_auroc,ez_target_engagement,subject_forward_total_s
sub-002,inferred,0.28639240506329117,0.800751016192484,22.954667198006064
sub-002,oracle,0.2879746835443038,0.815946840651669,22.954667198006064
sub-002,provided,0.8512658227848101,0.0807596693953382,22.954667198006064
sub-002,random,0.3662974683544304,0.03893175410602065,22.954667198006064
sub-003,inferred,0.06875,0.006358549624545905,20.773796350928023
sub-003,oracle,0.990625,0.5518609191339082,20.773796350928023
sub-003,provided,0.9625,0.11271087672677937,20.773796350928023
sub-003,random,0.39375000000000004,0.0020981873860270207,20.773796350928023
sub-007,inferred,0.0,0.0017315298984004425,20.545609652996063
sub-007,oracle,0.5872611464968153,0.863271146793548,20.545609652996063
sub-007,provided,0.6687898089171974,0.5984874422544625,20.545609652996063
sub-007,random,0.5719745222929936,0.03030253423225178,20.545609652996063
sub-008,inferred,0.0,0.0015644092403640996,20.37418050505221
sub-008,oracle,0.940625,0.6961207743147901,20.37418050505221
sub-008,provided,0.815625,0.04253416987936985,20.37418050505221
sub-008,random,0.865625,0.028371520817255434,20.37418050505221
sub-009,inferred,0.21996753246753248,0.04337375261697633,20.702700221911073
sub-009,oracle,0.2508116883116883,0.7870589972019532,20.702700221911073
sub-009,provided,0.4772727272727273,0.42477219425155577,20.702700221911073
sub-009,random,0.48133116883116883,0.35377355571618957,20.702700221911073
sub-010,inferred,0.4989517819706499,0.01990663195908336,20.445677753072232
sub-010,oracle,0.6645702306079665,0.672484227766839,20.445677753072232
sub-010,provided,0.6666666666666666,0.44856817797917115,20.445677753072232
sub-010,random,0.05660377358490566,0.004647445492998517,20.445677753072232
sub-011,inferred,0.475,0.012582209633500395,20.410011464031413
sub-011,oracle,1.0,0.7075331252993914,20.410011464031413
sub-011,provided,0.0,0.003918703454143064,20.410011464031413
sub-011,random,0.6156250000000001,0.024854866159450196,20.410011464031413
sub-012,inferred,0.20964360587002095,0.01036367978226409,20.373622294981033
sub-012,oracle,0.3438155136268344,0.659050701971402,20.373622294981033
sub-012,provided,0.3438155136268344,0.03931493547554495,20.373622294981033
sub-012,random,0.3165618448637317,0.01998124617928977,20.373622294981033
sub-015,inferred,0.012422360248447204,0.0009513966120648012,21.172512240940705
sub-015,oracle,1.0,0.5654484832701997,21.172512240940705
sub-015,provided,1.0,0.4615888815929044,21.172512240940705
sub-015,random,0.8819875776397516,0.013431241067387346,21.172512240940705
sub-020,inferred,0.81875,0.0212809108676764,21.465846967883408
sub-020,oracle,1.0,0.5626928877885867,21.465846967883408
sub-020,provided,0.953125,0.09271847682646119,21.465846967883408
sub-020,random,0.834375,0.019021479825892314,21.465846967883408
sub-022,inferred,1.0,0.39620431667529776,20.78486067405902
sub-022,oracle,1.0,0.5019735081784099,20.78486067405902
sub-022,provided,1.0,0.2226588504072915,20.78486067405902
sub-022,random,0.9658385093167703,0.04436214429312969,20.78486067405902
sub-025,inferred,0.0,0.008622737047614761,21.475467921001837
sub-025,oracle,1.0,0.4229833766009607,21.475467921001837
sub-025,provided,1.0,0.17663604681106282,21.475467921001837
sub-025,random,0.17080745341614906,0.005906275755625983,21.475467921001837
sub-027,inferred,0.37743506493506496,0.21127069779670418,20.20305637200363
sub-027,oracle,0.13717532467532467,0.6440592212775276,20.20305637200363
sub-027,provided,0.012987012987012988,0.02137967109442058,20.20305637200363
sub-027,random,0.137987012987013,0.062068232989703376,20.20305637200363
sub-029,inferred,1.0,0.7101247941597518,20.42580607207492
sub-029,oracle,1.0,0.7101247941597518,20.42580607207492
sub-029,provided,0.006211180124223602,0.001118409194710237,20.42580607207492
sub-029,random,0.006211180124223602,0.0008222168023040762,20.42580607207492
